tipo do objeto,maps-user,nome por extenso,sigla,nome,importar,código das escolas,CNES - Cadastro Nacional de Estabelecimentos de Saúde,endereço,nº,complemento,bairro,preposição,Distrito,Sub-prefeitura,CeP,município,UF,DDD,telefone,fax,e-mail,Nome do Contato,Cargo do contato,Site,CNPJ,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Fonte,Link,Texto Link,Data,Fonte,Link,Texto link,Data,descrição,Referencia (links),Palavras-chave (nome do projeto),Palavras-chave,Palavras-chave (Distrito),Palavras-chave,Palavras-chave,Palavras-chave (Estado),Palavra-chave (Trilha 1/Igarassu),Palavra-chave (Trilha 1/Igirassu),Palavra-chave (Trilha 1/Igirassu),Palavra-chave (Trilha 4/Igirassu),público-alvo 1,público-alvo 2,público-alvo 3,público-alvo 4,público-alvo 5,público-alvo 6,Projeto,Área de abrangência,horário de funcionamento,código conselho tutelar,diretoria de ensino,situação de funcionamento,latitude,longitude,Código da Escola Municipal,Palavra-chave,Palavra-chave,Programas oferecidos (Contraturno),Programas Sócio educativos (1)
O,http://maps.mootiro.org/user/profile/347,A Associação de Assistência Social São João Vianney,,Associação de Assistência Social São João Vianney,sim,,,Rua Francisco Bianchini,1199,,Vila Georgina,na,Administração Regional 9,Região Sul,13043-730,Campinas,SP,19,3276-7596,,vianney.social@terra.com.br,,,www.vianney.com.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 9,,,,crianças (4-6),crianças (7-12),adolescentes (13-17),,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A União Cristã Feminina,,União Cristã Feminina,sim,,,Rua Olívio Manoel de Camargo,291,,Jardim Santa Mônica,na,Administração Regional 4,Região Norte, 13082-125,Campinas,SP,19,3246-2462,,uniaocrista@feac.org.br,,,www.uniaocristafeminina.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Administração Regional 4,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Instituto Educacional Evangélico para Deficientes Auditivos,,Instituto Educacional Evangélico para Deficientes Auditivos,sim,,,Rua Coronel Job de Figueiredo,22,,Jardim Nova Europa,na,Administração Regional 8,Região Sul,13040-066,Campinas,SP,19,3238-7320,,institutodef@yahoo.com.br,,,www.surdoscampinas.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEMC (T) - Programa de atenção às pessoas com deficiência,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 8,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/169,O Senac Itaquera,,Senac Itaquera,sim,,,Avenida Itaquera,8266,,Itaquera,no,Distrito Itaquera,Subprefeitura Itaquera,08295-000,São Paulo,SP,11,2185-9200,,taquera@sp.senac.br,,,www.sp.senac.br/itaquera,,Educação,,,,,,,,,,,,,,Educação e Sustentabilidade,sem ponto,Itaquera,Sistema S,SENAC,São Paulo,,,,,comunidade em geral,,,,,,http://maps.mootiro.org/project/educacao-para-sao-paulo-uma-cidade-sustentavel,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A SOS Ação Mulher e Família,,SOS Ação Mulher e Família,sim,,,Rua Doutor Quirino,1856,,Centro,na,Administração Regional 1,Região Centro, 13015-082,Campinas,SP,19,3232-1544,,samulher@feac.org.br,,,www.sosmulherefamilia.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEMC - PAEFI Mulher em situação de violência doméstica de gênero e seu respectivo núcleo familiar,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 1,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Sociedade Brasileira de Pesquisa e Assistência para Reabilitação Craniofacial,SOBRAPAR,Sociedade Brasileira de Pesquisa e Assistência para Reabilitação Craniofacial,sim,,,Avenida Adolfo Lutz,100,,Cidade Universitária,no,Distrito Barão Geraldo,Região Norte,13084-880,Campinas,SP,19,3755-8050,,sobrapar@sobrapar.org.br,,,www.sobrapar.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB (T) - Serviço de ações complementares às pessoas em situação de fragilidades circunstanciais e emergenciais de apoio à saúde,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Barão Geraldo,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Sociedade Educativa de Trabalho e Assistência,SETA,Sociedade Educativa de Trabalho e Assistência,sim,,,Avenida Esther Moretzshon de Camargo,318,,Jardim Santana,na,Administração Regional 3,Região Centro, 13088-107,Campinas,SP,19,3256-2091,,seta@setacampinas.org.br,,,www.setacampinas.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB – SCFV - Adolescentes e jovens de 15 a 24 anos, PSB – PAIF - Potencialização do serviço de proteção e atendimento integral à família, PEM – Programa de elaboração de estudo social para referenciamento pelo gestor à rede socioassistencial e outras políticas públicas (19) 3325-2091",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 3,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Centro Sócio Educativo Semente Esperança,,Centro Sócio Educativo Semente Esperança,sim,,,Rua Ubirama,372,,Jardim Baronesa,na,Administração Regional 10,Região Sul,13100-311,Campinas,SP,19,3252-2712,,semente@feac.org.br,,,www.sementeesperanca.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 10,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,"A Associação ""Os Seareiros""",,Os Seareiros,sim,,,Rua Francisco Mesquita,335,,Vila Brandina,na,Administração Regional 2,Região Centro,13092-511,Campinas,SP,19,3253-2646,,social@seareiros.org.br,,,www.seareiros.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSEAC - Serviço de acolhimento institucional para pessoas em situação de rua (adulto) – Abrigo Institucional, PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 2,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Centro Social Romília Maria,,Centro Social Romília Maria,sim,,,Rua Agnaldo Macedo, 123/135,,Jardim da Oliveiras,na,Administração Regional 9,Região Sul,13044-000,Campinas,SP,19,3271-1022,,romiliamaria@mpcnet.com.br,,,www.romiliamaria.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos, PSB - SCFV - Centros de Convivência Inclusivos e Intergeracionais",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 9,,,,,,,,,,,,,,,,,,,,,,
