tipo do objeto,tipo,nome por extenso,título,nome,importar,código das escolas,endereço,nº,bairro,Distrito,Sub-prefeitura,CeP,município,DDD,telefone,e-mail,Site,CNPJ,Categoria,Fonte,Link,Texto Link,Data,descrição,Palavras-chave,Palavras-chave (Categoria),Palavras-chave (Distrito),Palavras-chave,Palavras-chave,Palavras-chave,público-alvo 1,público-alvo 2,público-alvo 3,público-alvo 4,público-alvo 5,público-alvo 6,público-alvo 7,público-alvo 8,público-alvo 9,público-alvo 10,público-alvo 11
R,Ponto de Leitura,O Ponto de Leitura Jardim Lapena,,Ponto de Leitura Jardim Lapena,sim,,Rua Serra da Juruoca,s/n,Jardim Lapena,São Miguel Paulista,São Miguel Paulista,08071-180,São Paulo,(11),2956-9121 ramal 205 ou 218,aabbas@prefeitura.sp.gov.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/pontos_leitura/index.php?p=6989,Ponto de Leitura Jardim Lapenna,19/07/2012,2ª a sábado das 8h às 18h,Educação e Sustentabilidade,,São Miguel Paulista,Ponto de Leitura,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Ponto de Leitura,O Ponto de Leitura Vila Mara,,Ponto de Leitura Vila Mara,sim,,Rua Conceição do Almeida,170,Vila Mara,São Miguel Paulista,São Miguel Paulista,08081-370,São Paulo,(11),2586-2526,aabbas@prefeitura.sp.gov.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/pontos_leitura/index.php?p=6988,Ponto de Leitura Vila Mara,19/07/2012,"2ª a 6ª feira das 9h às 17h e sábado das 9h às 16h, exceto feriados",Educação e Sustentabilidade,,São Miguel Paulista,Ponto de Leitura,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Ponto de Leitura,O Ponto de Leitura Severino do Ramo,,Ponto de Leitura Severino do Ramo,sim,,Avenida Barão de Alagoas,340,Itaim Paulista,Itaim Paulista,Itaim Paulista,08120-000,São Paulo,(11),2963-2742,,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/pontos_leitura/index.php?p=9300,Ponto de Leitura Severino do Ramo,19/07/2012,2ª a sábado das 9h às 18h,Educação e Sustentabilidade,,Itaim Paulista,Ponto de Leitura,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Biblioteca,A biblioteca é localizada no Centro de Educação Unificado (CEU) Três Pontes. Esse,,Biblioteca do CEU Três Pontes,sim,,Rua Capachós,400,Jardim Célia,Jardim Helena,São Miguel Paulista,08191-330,São Paulo,(11),3678-5383/3678-5384,ceutrespontes@prefeitura.sp.gov.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/bibliotecas_ceus/index.php?p=222,Biblioteca CEU,19/07/2012,,Educação e Sustentabilidade,,Jardim Helena,Biblioteca,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Biblioteca,"A biblioteca é localizada no Centro de Educação Unificado (CEU) Vila Curuçá ""João Cabral de Mello Neto"". Esse",,Biblioteca do CEU Vila Curuçá “João Cabral de Mello Neto”,sim,,Avenida Marechal Tito,3452,Jardim Silva Teles,Itaim Paulista,Itaim Paulista,08160-495,São Paulo,(11),6563-6137,ceucurucabiblioteca@prefeitura.sp.gov.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/bibliotecas_ceus/index.php?p=222,Biblioteca CEU,19/07/2012,,Educação e Sustentabilidade,,Itaim Paulista,Biblioteca,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Biblioteca,A biblioteca é localizada no Centro de Educação Unificado (CEU) Parque Veredas “Paulo Leminski”. Esse,,Biblioteca do CEU Parque Veredas “Paulo Leminski”,sim,,Rua Daniel Muller,347,Chácara Dona Olívia,Itaim Paulista ,Itaim Paulista ,08141-290,São Paulo,(11),2563-6212 ,ceupqveredasbiblioteca@prefeitura.sp.gov.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/bibliotecas_ceus/index.php?p=222,Biblioteca CEU,19/07/2012,,Educação e Sustentabilidade,,Itaim Paulista ,Biblioteca,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Biblioteca,A biblioteca é localizada no Centro de Educação Unificado (CEU) Parque São Carlos “Barbosa Lima Sobrinho”. Esse,,Biblioteca do CEU Parque São Carlos “Barbosa Lima Sobrinho”,sim,,Rua Clarear,141,Jardim São Carlos,Vila Jacuí,São Miguel Paulista,08062-590,São Paulo,(11),2045-4261 ,ceupqsaocarlosbiblioteca@prefeitura.sp.gov.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/bibliotecas_ceus/index.php?p=222,Biblioteca CEU,19/07/2012,,Educação e Sustentabilidade,,Vila Jacuí,Biblioteca,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Biblioteca,A biblioteca é localizada no Centro de Educação Unificado (CEU) Quinta do Sol. Esse,,Biblioteca do CEU Quinta do Sol,sim,,Avenida Luiz Imparato,564,Parque Císper,Ermelino Matarazzo,Ermelino Matarazzo,03819-160,São Paulo,(11),3396-8591,ceuquintadosol@prefeitura.sp.gov.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/bibliotecas_ceus/index.php?p=222,Biblioteca CEU,19/07/2012,,Educação e Sustentabilidade,,Ermelino Matarazzo,Biblioteca,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
O,Biblioteca,A Biblioteca Vicente Paulo Guimarães,,Biblioteca Vicente Paulo Guimarães,sim,,Rua Jaguar,225,Vila Curuçá,Vila Curuçá,Itaim Paulista,08030-460 ,São Paulo,(11),2035-5322,bmvicentepguimaraes@yahoo.com.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/fale_conosco/index.php?p=10131,Biblioteca,19/07/2012,"2ª a 6ª feira, das 9h às 18h; sábado, 9h às 16h",Educação e Sustentabilidade,,Vila Curuçá,Biblioteca,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
O,Biblioteca,A Biblioteca Raimundo de Menezes,,Biblioteca Raimundo de Menezes,sim,,Av. Nordestina,780,São Miguel Paulista,São Miguel Paulista,São Miguel Paulista,08021-000,São Paulo,(11),2297-4053,bmraimundomenezes@yahoo.com.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/fale_conosco/index.php?p=10131,Biblioteca,19/07/2012,"2ª a 6ª feira, das 8h às 17h; sábado, 9h às 16h",Educação e Sustentabilidade,,São Miguel Paulista,Biblioteca,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
